id,source_index,name,class,weapon,families,compatibility_status,level,ap_cost,ap_cap,ap_completeness,solver_compatible,median_id_skillpoints_feasible,source_url,current_builder_url,atree_warning,local_error
nori-mage-quetzalcoatl-406c11bb57fe,123,Revenant Quetz,Mage,Quetzalcoatl,spell_sustained|lootrun,broken_current_atree,106,44,45,0.9777777777777777,false,true,https://wynnbuilder.github.io/builder/#CM0W9sT0K03U0N32nmKEWVGx4wnjZB--vQhbT1,https://wynnbuilder.github.io/builder/#CX0W96w0e06y0k64YXfS0-Ws9qZR8kLx-FNRjiB,"ATree Error!Incandescence: missing dep: ""Ophanim""",
nori-mage-warp-b46429801581,124,Warp Riftwalker TWA Sorcery,Mage,Warp,spell_sustained,migrated_incomplete_atree,,0,45,0,false,,https://wynnbuilder.github.io/builder/#CM0yt0-CHW7Z7pJoJIQIQ2RY40NDOW2vn8F8jJGOpEN+-sRwEU6,https://wynnbuilder.github.io/builder/#CX0yt0-CHW7Z7pJoJIQIQ2RY40NDOW2vn8F8jJGOpGkL3,,decodeCraft is not defined
nori-mage-pure-8fbcd9a1cbd6,125,Pure Arcanist TWA,Mage,Pure,spell_sustained,broken_current_atree,,35,45,0.7777777777777778,false,,https://wynnbuilder.github.io/builder/#CM0qJG2EH06Jx16ZaHxHE2RY482mOQFmOaCQFoH8Ja0HWPYPoQoQoQoQ2SY4GvDir1Z7WrGUlodZpcT3,https://wynnbuilder.github.io/builder/#CX0qJG2EH06Jx16ZaHxHE2RY482mOQFmOaCQFoH8Ja0HWPYPoQoQoQoQ2SY4GvDir1Z7WrmgzUbF7dDx6,"ATree Error!Frozen Tornado: missing dep: ""Distortion""Cheaper Heal: not reachableMeteor Shower: missing dep: ""Distortion""Incandescence: missing dep: ""Ophanim""Judrajim: Arcanist: 11 < 12... 1 errors not shown",decodeCraft is not defined
nori-mage-pure-c95faf378444,126,Pure Arcanist Level Scale,Mage,Pure,spell_sustained,migrated_incomplete_atree,65,12,34,0.35294117647058826,false,true,https://wynnbuilder.github.io/builder/#CM0rKGb3SW1sSW6E4q0M7Ij1i6C506qxLy3hf1,https://wynnbuilder.github.io/builder/#CX0rKGb3SW1sSW6E4q0M7Ij1i6C506qxL0,,
nori-mage-warp-914a18730fbd,127,Warp Riftwalker EWA,Mage,Warp,spell_sustained|lootrun,migrated_incomplete_atree,106,0,45,0,false,true,https://wynnbuilder.github.io/builder/#CM0820W2KE1kQm05mm156kmWmczqPFWt12Am-tzckZR,https://wynnbuilder.github.io/builder/#CX0820W2KE1kQm05mm156kmWmcXfpU0l34KeQ0,,
nori-assassin-weathered-84f28e883248,128,Funambulist Spellshade Weathered,Assassin,Weathered,spell_sustained,current_functional_solver_seed,106,45,45,1,true,true,https://wynnbuilder.github.io/builder/#CM01+G0Eiw3CnW10G0H15c1mlcTEn1Y30wdtBhhcAO0,https://wynnbuilder.github.io/builder/#CX01+G0Eiw3CnW10G0H15c1mlcXSY3470LhVUlikQgW1,,
nori-mage-singularity-bc37938c9ed5,129,Madness Arcanist Singularity,Mage,Singularity,spell_sustained,broken_current_atree,106,26,45,0.5777777777777777,false,true,https://wynnbuilder.github.io/builder/#CM0p1ntFCn3O6WT8i3XA8am0jcN90mbtlPVZwl1,https://wynnbuilder.github.io/builder/#CX0p1ntFCn3O6WT8i3XA8am0jcQI0WRrU-czD0,"ATree Error!Distortion: missing dep: ""Etheric Slash""Frozen Tornado: missing dep: ""Distortion""",
nori-assassin-nullification-1c04c7c028ba,130,Conquered Skies Trickster Nullification,Assassin,Nullification,spell_sustained,migrated_incomplete_atree,106,0,45,0,false,true,https://wynnbuilder.github.io/builder/#CM0m-mtFy+3O6mM7C0GnEMbnicHEN10+dxaY+nduG,https://wynnbuilder.github.io/builder/#CX0m-mtFy+3O6mM7C0GnEMbnicJSk20L3,,
nori-mage-warp-4fc82b26aecb,131,boreal warp with discoverer,Mage,Warp,lootrun,broken_current_atree,106,19,45,0.4222222222222222,false,true,https://wynnbuilder.github.io/builder/#11_0eO0QU0r50QN0Fx0OW0K40OH0R10V0V0V1B2M1g1000FU01000FU1000FU1007lU0z0z0+0+0+0+0-1T2Y2Y2Z2Z2a2a401401401401401--PqclPB,https://wynnbuilder.github.io/builder/#CX0Pe6wyf16r6wWfPe3-32nG15amWmcXShs-V61,"ATree Error!Wisdom: blocked by: ""Wand Proficiency II""",
nori-warrior-thrundacrack-a170b11bfb46,132,Thrundacrack Fallen Battlemonk eTWf,Warrior,Thrundacrack,spell_sustained|lootrun,current_functional_solver_seed,106,43,45,0.9555555555555556,true,true,https://wynnbuilder.github.io/builder?v=16#9_0VR0u70uS0tv0050050TN0Ji0Qw0j2C110e021g010006C10006C10009I102J6I0z0z0+0+0+0+0-1TjNVz-cp0,https://wynnbuilder.github.io/builder/#CX0SV02kCETuoueVxaZ10C00M7QdmkcJQdj0GrQl+w-Dd10,,
nori-warrior-bloodbath-1989b45e6a67,133,Bloodbath Fallen ETwf,Warrior,Bloodbath,spell_sustained,broken_current_atree,,17,45,0.37777777777777777,false,,https://wynnbuilder.github.io/builder?v=16#9_07F0DP0030QzCR-19H9k9H9k9HAS9W91CR-19H9k9H9k9HAS9W9100WCR-19H9k9H9k9HAS9T910yb221u0j0y001g1000361000361000361000361001Z60z0z0+0+0+0+0-1T-Mznlxx0,https://wynnbuilder.github.io/builder/#CX0G7MuerOX31W5E+QMuHGKYRIKYRIK2d2OY441H9k9H9k9H9SAW9I0X0YWe4tae4tae4Ebk490JUBuWy0gslLV0,"ATree Error!Mantle of the Bovemists: missing dep: ""War Scream""Bak'al's Grasp: missing dep: ""War Scream""",decodeCraft is not defined
nori-mage-third-wish-ad52a1010c5e,134,Third Wish Arcanist Rainbow,Mage,Third Wish,spell_sustained,broken_current_atree,106,26,45,0.5777777777777777,false,true,https://wynnbuilder.github.io/builder?v=16#9_0z-0u80r50nB0WA0K00x40OH0xs0o0y0y0t0e1g0010009I10009I1004fI0z0z0+0+0+0+0-1TlVp+6pwB,https://wynnbuilder.github.io/builder/#CX00+G2EOKxa3JiJEBW8W25xG23txEnfC0KjtlPV3,"ATree Error!Distortion: missing dep: ""Etheric Slash""Frozen Tornado: missing dep: ""Distortion""",
nori-mage-quetzalcoatl-c739a7fb6782,135,Quetzalcoatl Crabs Arcanist Madness,Mage,Quetzalcoatl,spell_sustained|lootrun,broken_current_atree,106,19,45,0.4222222222222222,false,true,https://wynnbuilder.github.io/builder?v=16#9_0690Pf0D40QW0uP0vI0Wf0Ji0uy1G1C0y1V1H1g0000103tlU0z0z0+0+0+0+0k1T--PChlPB,https://wynnbuilder.github.io/builder/#CX0A6WQ6Kq0XQW6EcoXA8QdGFkXu1w20o4a7Wgz-dH,"ATree Error!Wisdom: blocked by: ""Wand Proficiency II""",
nori-mage-warp-4b83c865968d,136,Pande Warp Riftbender W/ Guild Tome,Mage,Warp,unclassified,migrated_incomplete_atree,106,14,45,0.3111111111111111,false,false,https://wynnbuilder.github.io/builder?v=16#9_0cD0F+0uj0wh0Xr0Xr0Wf0OH0R10l0v0+0l2M1g10009I1000FU10009I1000FU1004fU0z0z0+0+0+0+0-1TzZddqwtn2,https://wynnbuilder.github.io/builder/#CX0EcEvy-OeZBkJEiw6wO72xGe229C8iPOwMj+n3,,
nori-shaman-aftershock-a273f576a2d2,137,Tstack Aftershock (11th Hour + Crafted),Shaman,aftershock,tierstack,broken_current_atree,,13,45,0.28888888888888886,false,,https://wynnbuilder.github.io/builder?v=16#9_0uh0xOCR-19w9F9CAM8r9t9i910QzCR-18j9k8j9k9f7J9m910BK0BI0uH0QK1u1Q0010001g100036100036100036100036100niO0z0z0+0+0+0+0-1TjNT3ros2P0,https://wynnbuilder.github.io/builder/#CX0iuMuajRX71w9F9C9MAr8t9i9Im27VDBy8e5nDf5nD9DPw0EH2eQ1JBG27LQgfShMxLtG1,"ATree Error!Puppet Master: Summoner: 2 < 3Stagnation: not reachableCheaper Aura I: not reachableMore Puppets I: missing dep: ""Puppet Master""Exploding Puppets: missing dep: ""Puppet Master""",decodeCraft is not defined
nori-shaman-sunstar-39541a040a42,138,ETA Tstack Sunstar,Shaman,Sunstar,tierstack|melee,migrated_incomplete_atree,106,0,45,0,false,false,https://wynnbuilder.github.io/builder?v=16#9_0uZ0KF0PW0Qq0uP0Jf00W0OO0Qu161p-Z-Z181g000010036C0z0z0+0+0+0+0-1Tl7RkksM46,https://wynnbuilder.github.io/builder/#CX0au0454c1rQW6EKdG80omGkcCSh6,,
nori-assassin-cataclysm-524f4b491166,139,Acrobat Cataclysm,Assassin,Cataclysm,unclassified,migrated_incomplete_atree,106,11,45,0.24444444444444444,false,false,https://wynnbuilder.github.io/builder?v=16#10_0Au01+0r50tv0uP0A50K40OH0QQ0O2C1a0O0e1g10006C00010036C0z0z0+0+0+0+0-1T2Y2Y2Z2Z2a2ajNZ-YzsO0,https://wynnbuilder.github.io/builder/#CX0vAouy706rW+DeX335KG19Cif9378AGrQl6,,
