scope,group,roll_profile,build_count,metric,n,min,p10,p25,median,p75,p90,max,mean,sample_sd,mad
archetype_class,Sharpshooter:archer,median,6,main_attack_range_pct,6,-20,-10,0,0,0,0,0,-3.3333,8.165,0
archetype_class,Sharpshooter:archer,median,6,main_attack_range_blocks,6,8.8,9.9,11,11,11,11,11,10.6333,0.8981,0
archetype_class,Sharpshooter:archer,median,6,main_attack_dps,6,1050.5115,1359.0982,1912.5287,3132.6443,4411.4427,5667.9237,6659.9999,3386.5554,2068.3257,1504.0812
archetype_class,Sharpshooter:archer,median,6,spell_display_avg_max,6,21795.3879,22450.7408,24158.1593,27451.6796,30827.9042,33967.9867,36028.4354,27956.8024,5344.1555,4400.7222
archetype_class,Sharpshooter:archer,median,6,spell_display_avg_sum,6,57159.3229,57956.7423,61874.0276,72216.6377,75832.3145,79662.2373,82614.6053,69945.2058,10072.1801,7445.5996
archetype_class,Sharpshooter:archer,median,6,heal_pct,6,-60,-30,0,0,0,0,0,-10,24.4949,0
archetype_class,Sharpshooter:archer,median,6,skill_points_assigned,6,148,162,177.5,187,192.75,194,195,181,17.7539,7
class,archer,upper_quartile_proxy,11,total_hp,11,12510,13142,13908,15785,17197.5,18773,23923,16080.6364,3279.8014,2325
class,archer,upper_quartile_proxy,11,ehp,11,9623.0769,12142.3077,13615.9356,21543.6764,35082.4521,40681.2573,54825.8262,26029.7216,14308.0318,9401.3687
class,archer,upper_quartile_proxy,11,ehp_no_agi,11,9623.0769,10353.8462,11835.7755,14427.2581,22021.2006,40681.2573,53020.5731,20385.0268,14029.8326,4073.4119
class,archer,upper_quartile_proxy,11,hpr,11,-291.6,-244.08,-202.55,0,277.015,833.75,1387.68,152.19,527.0077,231.53
class,archer,upper_quartile_proxy,11,ehpr,11,-419.2152,-319.8669,-181.5692,0,532.3851,1806.7436,3180.2325,437.5723,1107.9006,319.8669
class,archer,upper_quartile_proxy,11,ls,11,-467,-69,-17,221,588,806,958,274.4545,436.8513,262
class,archer,upper_quartile_proxy,11,effective_ls,11,-688.7251,-73.6783,-26.5384,452.1282,678.4616,996.2829,1066.6686,322.9262,533.2368,452.1282
class,archer,upper_quartile_proxy,11,mr,11,-17,-9,-3.5,20,32,41,47,14.5455,22.2322,20
class,archer,upper_quartile_proxy,11,total_mr,11,8,16,21.5,45,57,66,72,39.5455,22.2322,20
class,archer,upper_quartile_proxy,11,ms,11,-16,-10,0,21,29,51,72,19.5455,26.2311,21
class,archer,upper_quartile_proxy,11,mana_per_hit,11,-10.4575,-1.626,0,2.0155,15.3595,33.3333,47.0588,9.6885,17.2064,3.6415
class,archer,upper_quartile_proxy,11,total_mana,11,89,100,134.5,149,217,221,303,169.8182,63.2184,49
